epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,18503.3,0.48003,0.73599,1.07191,0.01549,0.73714,0.67355,0.68666,0.60532,0.36896,0.55448,0.98339,0.00626,0.0005545,0.0005545,0.0005545
38,19015.1,0.4755,0.73648,1.06763,0.01494,0.73558,0.64624,0.67076,0.59788,0.36947,0.55393,0.98419,0.00666,0.000542125,0.000542125,0.000542125
39,19522.1,0.47342,0.73514,1.06492,0.01487,0.77237,0.63262,0.68006,0.59994,0.3686,0.55128,0.98302,0.00661,0.00052975,0.00052975,0.00052975
40,20030.2,0.47056,0.73101,1.06341,0.01467,0.74262,0.66573,0.68128,0.60167,0.36651,0.54917,0.98151,0.00676,0.000517375,0.000517375,0.000517375
41,20542,0.46806,0.72231,1.06144,0.01457,0.73544,0.66732,0.68512,0.60751,0.36508,0.54536,0.97892,0.00655,0.000505,0.000505,0.000505
42,21049,0.46472,0.71804,1.05855,0.01435,0.75472,0.66973,0.69114,0.60912,0.3646,0.54497,0.97779,0.00658,0.000492625,0.000492625,0.000492625
43,21557.8,0.46388,0.71835,1.0567,0.0145,0.75029,0.67705,0.6875,0.60625,0.36289,0.54392,0.97689,0.00629,0.00048025,0.00048025,0.00048025
44,22072.2,0.46161,0.70998,1.05472,0.01396,0.77567,0.66776,0.69135,0.61244,0.36168,0.54315,0.9755,0.0064,0.000467875,0.000467875,0.000467875
45,22584.2,0.46114,0.71099,1.0546,0.01406,0.76688,0.66241,0.69279,0.61492,0.3609,0.54108,0.97418,0.00644,0.0004555,0.0004555,0.0004555
46,23094.8,0.45729,0.71258,1.05299,0.01403,0.74419,0.67647,0.69825,0.61584,0.35954,0.53902,0.97309,0.00641,0.000443125,0.000443125,0.000443125
47,23603,0.45713,0.70364,1.05273,0.01368,0.7388,0.67481,0.70017,0.61969,0.35816,0.53706,0.9726,0.0063,0.00043075,0.00043075,0.00043075
48,24128.3,0.45544,0.70275,1.05145,0.01403,0.74628,0.67876,0.70022,0.61972,0.35649,0.53708,0.97184,0.00656,0.000418375,0.000418375,0.000418375
49,24639.7,0.45506,0.69885,1.04818,0.01371,0.74163,0.67472,0.69903,0.61868,0.35581,0.53597,0.97137,0.00658,0.000406,0.000406,0.000406
50,25150.8,0.44873,0.69281,1.04488,0.01298,0.7217,0.68383,0.69672,0.61783,0.35555,0.53456,0.97091,0.00638,0.000393625,0.000393625,0.000393625
51,25664.1,0.44918,0.69527,1.04727,0.01319,0.72921,0.68263,0.69835,0.61735,0.35511,0.53352,0.9706,0.00645,0.00038125,0.00038125,0.00038125
52,26178.1,0.4476,0.69244,1.04304,0.01308,0.73027,0.67447,0.69785,0.61704,0.35478,0.53307,0.96992,0.0064,0.000368875,0.000368875,0.000368875
53,26692.2,0.44543,0.68632,1.04306,0.01283,0.73011,0.67219,0.69818,0.62234,0.35365,0.53237,0.96887,0.0064,0.0003565,0.0003565,0.0003565
54,27196.9,0.4421,0.67812,1.03978,0.01266,0.73066,0.67524,0.69724,0.62194,0.35272,0.53101,0.96819,0.00634,0.000344125,0.000344125,0.000344125
55,27707.1,0.44438,0.68254,1.04264,0.01296,0.7317,0.67459,0.69853,0.62305,0.35189,0.52955,0.96726,0.00632,0.00033175,0.00033175,0.00033175
56,28216.4,0.43898,0.67813,1.03648,0.01262,0.73136,0.67597,0.69836,0.62353,0.3517,0.52916,0.96688,0.0063,0.000319375,0.000319375,0.000319375
57,28723.4,0.43891,0.67998,1.03911,0.01233,0.73226,0.67591,0.69861,0.62558,0.35104,0.52863,0.96603,0.00634,0.000307,0.000307,0.000307
58,29226.7,0.43592,0.67033,1.03614,0.01253,0.72935,0.67886,0.69746,0.62595,0.35071,0.52827,0.96568,0.00626,0.000294625,0.000294625,0.000294625
59,29722.6,0.4371,0.67429,1.03748,0.01256,0.72599,0.68392,0.69533,0.62584,0.35018,0.52801,0.96507,0.00608,0.00028225,0.00028225,0.00028225
60,30220.8,0.43346,0.66653,1.03343,0.01222,0.72448,0.68337,0.69555,0.62613,0.34985,0.52811,0.96477,0.00598,0.000269875,0.000269875,0.000269875
61,30722,0.42837,0.66064,1.03038,0.01201,0.72316,0.68445,0.6962,0.62631,0.34902,0.52775,0.96388,0.00589,0.0002575,0.0002575,0.0002575
62,31222.7,0.42584,0.65741,1.02922,0.01202,0.72287,0.68385,0.69702,0.62705,0.3487,0.52689,0.96365,0.00589,0.000245125,0.000245125,0.000245125
63,31723.4,0.42278,0.65294,1.02421,0.01161,0.7217,0.68099,0.69631,0.62704,0.34807,0.52613,0.96307,0.00594,0.00023275,0.00023275,0.00023275
64,32221.5,0.42032,0.64389,1.02312,0.01134,0.72111,0.6871,0.69675,0.62903,0.34759,0.52573,0.9627,0.00606,0.000220375,0.000220375,0.000220375
65,32720.3,0.42148,0.65156,1.02495,0.01149,0.72015,0.68627,0.69764,0.62758,0.34727,0.52509,0.96225,0.00611,0.000208,0.000208,0.000208
66,33220.8,0.41856,0.64314,1.0223,0.01146,0.71933,0.6867,0.69793,0.62876,0.34694,0.5249,0.96196,0.0061,0.000195625,0.000195625,0.000195625
67,33719.9,0.41602,0.63977,1.01858,0.0111,0.71955,0.68694,0.69764,0.62766,0.34668,0.52448,0.96175,0.00609,0.00018325,0.00018325,0.00018325
68,34220,0.41811,0.641,1.02167,0.01132,0.71881,0.68781,0.69759,0.62798,0.34626,0.52431,0.96132,0.00612,0.000170875,0.000170875,0.000170875
69,34714.6,0.4138,0.6372,1.01726,0.01098,0.72195,0.68401,0.6968,0.62769,0.34589,0.52385,0.96096,0.00614,0.0001585,0.0001585,0.0001585
70,35211.5,0.41331,0.63607,1.01796,0.011,0.72386,0.68603,0.69663,0.62781,0.34559,0.52334,0.9605,0.00615,0.000146125,0.000146125,0.000146125
71,35694,0.33648,0.52203,0.97422,0.00714,0.72467,0.68629,0.69698,0.62856,0.34536,0.52272,0.96029,0.00614,0.00013375,0.00013375,0.00013375
72,36174.9,0.33107,0.50936,0.96752,0.00722,0.72679,0.6868,0.69606,0.62821,0.34494,0.52212,0.96002,0.00618,0.000121375,0.000121375,0.000121375
73,36655.2,0.32687,0.50402,0.96683,0.00692,0.72651,0.68533,0.69553,0.62735,0.34447,0.52149,0.95969,0.0062,0.000109,0.000109,0.000109
74,37135.5,0.32391,0.49879,0.96155,0.00663,0.72307,0.69283,0.69662,0.62821,0.34392,0.52091,0.95926,0.00622,9.6625e-05,9.6625e-05,9.6625e-05
75,37616.1,0.32268,0.49529,0.96026,0.00668,0.72407,0.68764,0.69677,0.62828,0.34341,0.52049,0.95888,0.00623,8.425e-05,8.425e-05,8.425e-05
76,38095,0.31927,0.48845,0.95749,0.00665,0.72837,0.68742,0.69623,0.62784,0.34299,0.51969,0.95864,0.00621,7.1875e-05,7.1875e-05,7.1875e-05
77,38575.5,0.31808,0.48638,0.9577,0.00664,0.71921,0.69844,0.69676,0.62876,0.34261,0.51905,0.95839,0.00618,5.95e-05,5.95e-05,5.95e-05
78,39056.1,0.31718,0.48491,0.955,0.00676,0.72247,0.6972,0.69709,0.62971,0.34229,0.51849,0.95817,0.00614,4.7125e-05,4.7125e-05,4.7125e-05
79,39536.3,0.31491,0.48302,0.95572,0.00639,0.72182,0.69495,0.69729,0.6293,0.34197,0.5178,0.95792,0.00612,3.475e-05,3.475e-05,3.475e-05
80,40017.4,0.31288,0.47847,0.95132,0.00632,0.72496,0.69578,0.69723,0.6303,0.34182,0.5175,0.95774,0.00612,2.2375e-05,2.2375e-05,2.2375e-05
